category,subject,day,start_period,end_period,start_time,end_time,room
전공,경제정책론,월,7,9,15:00,18:00,nan
전공,국제금융론,월,1,3,09:00,12:00,nan
전공,금융투자론,목,4,6,12:00,15:00,성301
전공,금융투자론,목,7,9,15:00,18:00,성301
전공,경제성장론,월,4,6,12:00,15:00,성211
전공,조세론,금,7,9,15:00,18:00,성701
전공,법경제학,월,7,9,15:00,18:00,nan
전공,정보화와 경제,목,7,9,15:00,18:00,성307
전공,금융계량경제학,화,1,3,09:00,12:00,수C-615
전공,영상커뮤니케이션,월,4,6,12:00,15:00,성701
전공,영상커뮤니케이션,월,7,9,15:00,18:00,성701
전공,HCI와 커뮤니케이션,화,7,9,15:00,18:00,난205
전공,커뮤니케이션연구방법론,월,1,3,09:00,12:00,수213
전공,설득커뮤니케이션,화,4,6,12:00,15:00,난604
전공,저널리즘의 이해,목,1,3,09:00,12:00,성302
전공,엔터테인먼트산업론,화,7,9,15:00,18:00,성702
전공,엔터테인먼트산업론,수,7,9,15:00,18:00,성702
전공,지능형콘텐츠제작,목,4,6,12:00,15:00,수223-1
전공,커뮤니케이션이론,화,1,3,09:00,12:00,성213
전공,글로벌마케팅커뮤니케이션,목,7,9,15:00,18:00,성308
전공,소셜 미디어와 플랫폼 연구,월,7,9,15:00,18:00,성307
전공,K-컬처와 한류,월,4,6,12:00,15:00,성704
전공,논술과 사회과학 글쓰기,수,4,6,12:00,15:00,수223-1
전공,문화콘텐츠 마케팅,목,1,3,09:00,12:00,성211
전공,방송저널리즘 제작 실습,수,4,6,12:00,15:00,성307
전공,영상연출론,화,4,6,12:00,15:00,성707
전공,글로벌 미디어와 커뮤니케이션,월,7,9,15:00,18:00,성704
전공,실감형 콘텐츠,화,1,3,09:00,12:00,수223-1
전공,공공/정책 PR,화,4,6,12:00,15:00,난204
전공,공공외교와 국가브랜딩 전략,수,4,6,12:00,15:00,성311
전공,숏폼영상콘텐츠,목,1,3,09:00,12:00,성601
전공,경영학원론,화,7,9,15:00,18:00,난505
전공,회계원리,수,4,6,12:00,15:00,성302
전공,회계원리,목,1,3,09:00,12:00,성212
전공,회계원리,목,10,12,18:00,,성307
전공,재무회계,금,7,9,15:00,18:00,nan
전공,생산운영관리,목,7,9,15:00,18:00,성707
전공,생산운영관리,월,10,12,18:00,,성710
전공,기업과 사회,화,4,6,12:00,15:00,성303
전공,기업과 사회,토,1,3,09:00,12:00,성302
전공,금융의 이해,화,1,3,09:00,12:00,nan
